,mission,time,location,rocket,result,organization,status,price,liftoff thrust,payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height
0,Iridium-6 & GRACE-FO,"Tue May 22, 2018 19:47 UTC","SLC-4E, Vandenberg SFB, California, USA",Falcon 9 Block 4,Success,SpaceX,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
1,SES-12,"Mon Jun 04, 2018 04:45 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 4,Success,SpaceX,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
2,Test Flight,"Tue Feb 06, 2018 20:45 UTC","LC-39A, Kennedy Space Center, Florida, USA",Falcon Heavy,Success,SpaceX,Active,$97.0 million,"22,819 kN","63,800 kg","26,700 kg",2,2,70.0 m,5.2 m,13.0 m
3,CRS SpX-15,"Fri Jun 29, 2018 09:42 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 4,Success,SpaceX,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
4,Transiting Exoplanet Survey Satellite,"Wed Apr 18, 2018 22:51 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 4,Success,SpaceX,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
5,Flight 1,"Fri Jun 04, 2010 18:45 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 1 (v1.0),Success,SpaceX,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
6,COTS-1,"Wed Dec 08, 2010 15:43 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 1 (v1.0),Success,SpaceX,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
7,COTS-2+,"Tue May 22, 2012 07:44 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 1 (v1.0),Success,SpaceX,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
8,CRS SpX-1 & OG2,"Mon Oct 08, 2012 00:35 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 1 (v1.0),Partial Failure,SpaceX,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
9,CRS SpX-2,"Fri Mar 01, 2013 15:10 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 1 (v1.0),Success,SpaceX,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
